size,size,size,time,gflops
2000,2000,2000,0.110194,145.197832
2000,2000,2000,0.066451,240.780674
2000,2000,2000,0.070056,228.388444
2000,2000,2000,0.071399,224.091302
2000,2000,2000,0.071777,222.911204
2000,2000,2000,0.072755,219.915891
2000,2000,2000,0.072875,219.555167
2000,2000,2000,0.072996,219.189459
2000,2000,2000,0.071187,224.758936
2000,2000,2000,0.070634,226.519482
4000,4000,4000,0.350434,365.261614
4000,4000,4000,0.349409,366.332822
4000,4000,4000,0.339085,377.486534
4000,4000,4000,0.349625,366.106399
4000,4000,4000,0.374105,342.150189
4000,4000,4000,0.316217,404.785474
4000,4000,4000,0.375177,341.172606
4000,4000,4000,0.357676,357.865495
4000,4000,4000,0.386482,331.192349
4000,4000,4000,0.388588,329.397948
6000,6000,6000,1.070431,403.575904
6000,6000,6000,1.021566,422.880132
6000,6000,6000,0.940317,459.419637
6000,6000,6000,0.993478,434.836197
6000,6000,6000,0.950149,454.665341
6000,6000,6000,0.922361,468.363236
6000,6000,6000,0.952129,453.719966
6000,6000,6000,0.931392,463.821815
6000,6000,6000,0.980943,440.392545
6000,6000,6000,0.927837,465.599077
8000,8000,8000,2.104093,486.670481
8000,8000,8000,2.042114,501.441096
8000,8000,8000,2.036346,502.861407
8000,8000,8000,2.029623,504.527163
8000,8000,8000,2.034073,503.423342
8000,8000,8000,2.031928,503.954835
8000,8000,8000,2.027965,504.939609
8000,8000,8000,2.028002,504.930429
8000,8000,8000,2.027612,505.027508
8000,8000,8000,2.027541,505.045276
10000,10000,10000,3.817945,523.841991
10000,10000,10000,3.809137,525.053297
10000,10000,10000,3.806914,525.359896
10000,10000,10000,3.811572,524.717903
10000,10000,10000,3.810676,524.841330
10000,10000,10000,3.798228,526.561363
10000,10000,10000,3.804422,525.704027
10000,10000,10000,3.794032,527.143708
10000,10000,10000,3.814634,524.296634
10000,10000,10000,3.804340,525.715339
12000,12000,12000,6.314532,547.308998
12000,12000,12000,6.339484,545.154763
12000,12000,12000,6.345018,544.679308
12000,12000,12000,6.323100,546.567376
12000,12000,12000,4.973994,694.813820
12000,12000,12000,6.317285,547.070419
12000,12000,12000,6.336743,545.390622
12000,12000,12000,6.339370,545.164577
12000,12000,12000,6.357189,543.636497
12000,12000,12000,6.334061,545.621499
14000,14000,14000,9.845963,557.385798
14000,14000,14000,9.869015,556.083864
14000,14000,14000,9.962510,550.865186
14000,14000,14000,9.842524,557.580550
14000,14000,14000,9.855691,556.835612
14000,14000,14000,9.833879,558.070753
14000,14000,14000,9.880660,555.428499
14000,14000,14000,9.847911,557.275547
14000,14000,14000,9.637495,569.442576
14000,14000,14000,9.987311,549.497239
16000,16000,16000,10.199450,803.180562
16000,16000,16000,11.476672,713.795773
16000,16000,16000,10.778223,760.051097
16000,16000,16000,10.722510,764.000229
16000,16000,16000,11.419959,717.340566
16000,16000,16000,10.635305,770.264697
16000,16000,16000,11.524524,710.831958
16000,16000,16000,10.766226,760.897995
16000,16000,16000,11.394542,718.940730
16000,16000,16000,12.126715,675.533312
18000,18000,18000,13.766605,847.267728
18000,18000,18000,19.310144,604.034861
18000,18000,18000,14.544659,801.943848
18000,18000,18000,13.047703,893.950452
18000,18000,18000,19.298209,604.408428
18000,18000,18000,17.745966,657.276121
18000,18000,18000,13.668166,853.369780
18000,18000,18000,13.457687,866.716547
18000,18000,18000,13.759097,847.730037
18000,18000,18000,13.774862,846.759814
20000,20000,20000,26.907393,594.632108
20000,20000,20000,26.909671,594.581783
20000,20000,20000,26.946266,593.774296
20000,20000,20000,26.929577,594.142276
20000,20000,20000,26.921239,594.326283
20000,20000,20000,26.930559,594.120603
20000,20000,20000,26.524152,603.223803
20000,20000,20000,26.938944,593.935689
20000,20000,20000,26.917562,594.407478
20000,20000,20000,26.941163,593.886762
