cores,size,size,size,time,gflops
1,10000,10000,10000,14.705613,136.002493
1,10000,10000,10000,14.596183,137.022129
1,10000,10000,10000,14.595598,137.027620
1,10000,10000,10000,14.642855,136.585388
1,10000,10000,10000,14.656337,136.459745
1,10000,10000,10000,14.583058,137.145447
1,10000,10000,10000,14.601025,136.976681
1,10000,10000,10000,14.597684,137.008033
1,10000,10000,10000,14.610507,136.887794
1,10000,10000,10000,14.561200,137.351318
2,10000,10000,10000,7.639009,261.814063
2,10000,10000,10000,7.625742,262.269568
2,10000,10000,10000,7.626538,262.242181
2,10000,10000,10000,7.629303,262.147152
2,10000,10000,10000,7.625165,262.289414
2,10000,10000,10000,7.636322,261.906200
2,10000,10000,10000,7.624872,262.299472
2,10000,10000,10000,7.662956,260.995895
2,10000,10000,10000,7.682606,260.328330
2,10000,10000,10000,7.783846,256.942399
4,10000,10000,10000,3.782629,528.732857
4,10000,10000,10000,3.757382,532.285525
4,10000,10000,10000,3.752460,532.983632
4,10000,10000,10000,3.751640,533.100169
4,10000,10000,10000,3.749581,533.392975
4,10000,10000,10000,3.743041,534.324877
4,10000,10000,10000,3.755520,532.549426
4,10000,10000,10000,3.748600,533.532544
4,10000,10000,10000,3.753088,532.894445
4,10000,10000,10000,3.755908,532.494470
6,10000,10000,10000,2.517471,794.448226
6,10000,10000,10000,2.513255,795.780752
6,10000,10000,10000,2.512512,796.016198
6,10000,10000,10000,2.522527,792.855835
6,10000,10000,10000,2.516807,794.657599
6,10000,10000,10000,2.532663,789.682665
6,10000,10000,10000,2.516540,794.741938
6,10000,10000,10000,2.520264,793.567519
6,10000,10000,10000,2.537595,788.147774
6,10000,10000,10000,2.527571,791.273378
8,10000,10000,10000,1.977739,1011.256021
8,10000,10000,10000,1.996119,1001.944215
8,10000,10000,10000,1.988473,1005.797103
8,10000,10000,10000,1.979651,1010.279259
8,10000,10000,10000,1.983898,1008.116295
8,10000,10000,10000,1.971875,1014.263220
8,10000,10000,10000,1.978119,1011.061302
8,10000,10000,10000,1.971349,1014.533684
8,10000,10000,10000,1.978279,1010.979871
8,10000,10000,10000,1.988859,1005.601683
10,10000,10000,10000,1.578969,1266.649311
10,10000,10000,10000,1.581631,1264.517611
10,10000,10000,10000,1.580416,1265.489542
10,10000,10000,10000,1.578341,1267.153525
10,10000,10000,10000,1.579427,1266.282299
10,10000,10000,10000,1.580932,1265.076383
10,10000,10000,10000,1.585835,1261.165070
10,10000,10000,10000,1.584351,1262.346552
10,10000,10000,10000,1.577834,1267.560095
10,10000,10000,10000,1.578799,1266.785776
12,10000,10000,10000,1.297149,1541.842725
12,10000,10000,10000,1.302569,1535.427240
12,10000,10000,10000,1.298863,1539.808871
12,10000,10000,10000,1.299757,1538.749096
12,10000,10000,10000,1.297119,1541.878910
12,10000,10000,10000,1.297528,1541.392013
12,10000,10000,10000,1.298683,1540.022110
12,10000,10000,10000,1.297574,1541.337958
12,10000,10000,10000,1.305427,1532.066098
12,10000,10000,10000,1.295759,1543.497316
14,10000,10000,10000,1.115628,1792.712191
14,10000,10000,10000,1.117312,1790.010830
14,10000,10000,10000,1.117390,1789.885531
14,10000,10000,10000,1.118482,1788.137523
14,10000,10000,10000,1.125759,1776.578609
14,10000,10000,10000,1.115459,1792.983571
14,10000,10000,10000,1.119343,1786.762131
14,10000,10000,10000,1.120891,1784.295030
14,10000,10000,10000,1.116332,1791.582452
14,10000,10000,10000,1.113926,1795.451790
16,10000,10000,10000,0.980883,2038.978988
16,10000,10000,10000,0.975192,2050.877324
16,10000,10000,10000,0.975804,2049.591046
16,10000,10000,10000,0.977126,2046.819942
16,10000,10000,10000,0.974064,2053.253737
16,10000,10000,10000,0.985727,2028.959845
16,10000,10000,10000,0.974097,2053.183936
16,10000,10000,10000,0.972684,2056.165226
16,10000,10000,10000,0.982654,2035.305368
16,10000,10000,10000,0.977542,2045.946877
18,10000,10000,10000,0.874294,2287.560499
18,10000,10000,10000,0.874387,2287.315592
18,10000,10000,10000,0.875089,2285.480715
18,10000,10000,10000,0.873112,2290.656913
18,10000,10000,10000,0.873483,2289.684491
18,10000,10000,10000,0.873221,2290.372204
18,10000,10000,10000,0.872278,2292.847988
18,10000,10000,10000,0.874370,2287.362005
18,10000,10000,10000,0.875246,2285.071851
18,10000,10000,10000,0.873688,2289.147727
20,10000,10000,10000,0.818949,2442.153298
20,10000,10000,10000,0.800974,2496.960419
20,10000,10000,10000,0.803094,2490.367312
20,10000,10000,10000,0.807766,2475.964736
20,10000,10000,10000,0.800485,2498.486448
20,10000,10000,10000,0.803622,2488.730744
20,10000,10000,10000,0.802383,2492.573996
20,10000,10000,10000,0.801538,2495.204024
20,10000,10000,10000,0.801446,2495.488419
20,10000,10000,10000,0.802818,2491.225940
22,10000,10000,10000,0.755929,2645.751955
22,10000,10000,10000,0.759150,2634.525640
22,10000,10000,10000,0.765270,2613.457498
22,10000,10000,10000,0.758816,2635.685991
22,10000,10000,10000,0.756481,2643.821277
22,10000,10000,10000,0.753802,2653.216553
22,10000,10000,10000,0.756477,2643.835728
22,10000,10000,10000,0.759289,2634.044059
22,10000,10000,10000,0.755414,2647.555867
22,10000,10000,10000,0.754062,2652.301617
24,10000,10000,10000,0.696026,2873.457450
24,10000,10000,10000,0.692135,2889.610872
24,10000,10000,10000,0.694233,2880.878157
24,10000,10000,10000,0.693406,2884.314393
24,10000,10000,10000,0.694114,2881.369282
24,10000,10000,10000,0.700450,2855.307021
24,10000,10000,10000,0.696563,2871.238695
24,10000,10000,10000,0.693614,2883.448691
24,10000,10000,10000,0.693040,2885.838006
24,10000,10000,10000,0.693548,2883.723683
